Title,Description,Stock,Sale,Price,Author,Genre
A Cowboy's Life,"In the rugged heart of the Wild West, a lone cowboy struggles to maintain his way of life against encroaching settlers and lawmen. With a strong sense of duty and honor, he must navigate the dangers of the frontier, all while facing the pull of his own desires and the promise of something more than just the open range.",6,FALSE,25.34,Isaac Scott,Western
A Funny Story,"As a mysterious illness begins to spread across the country, a group of scientists races against time to find a cure. But with the government closing in, they must decide how far they're willing to go to save humanity or whether it's too late to save anyone at all.",4,TRUE,2.19,Gavin Brooks,Comedy
A Guide to the Universe,"A visionary explores the mysteries of the cosmos, guiding readers through the wonders of space, time, and existence itself. Filled with profound insights and thought-provoking theories, this book is a journey into the heart of the universe's deepest truths.",2,FALSE,21.83,Xena Gold,Non-Fiction
A Summer Between Strangers,"In the warm embrace of summer, two strangers find their lives intertwined as love blooms in the most unexpected places. As they navigate the complexities of family, secrets, and their own pasts, they must decide if their connection is a fleeting moment or something meant to last forever.",6,FALSE,15.87,Aidan Star,Romance
A Summer of Love,"A hot summer leads to an unexpected romance between two people from different walks of life. As their love blossoms, they must navigate the challenges of their pasts and decide if their future can be together.",7,FALSE,20.33,Owen West,Romance
A World of Possibilities,"In a post-apocalyptic world, a group of survivors stumbles upon a hidden bunker full of advanced technology, but it soon becomes clear that they are not the only ones interested in its secrets. As they race to unlock its potential, they must face enemies both human and alien.",1,TRUE,10.92,Elijah Reed,Non-Fiction
Antihero,"The story of a misunderstood hero whose struggle to save the world leads to unexpected consequences. Surrounded by dangerous forces, this comic follows the chaotic journey of an unlikely leader.",1,FALSE,5.96,Brock Harris,Comic
Beneath the Surface,"The world may seem perfect, but beneath the surface lies a hidden world of conflict, passion, and betrayal. As two lovers face impossible challenges, they must decide how much they are willing to sacrifice for each other.",5,FALSE,28.75,Lena Perry,Romance
Beyond the Stars,"A captain of a starship embarks on a journey to explore uncharted territories of space. Along the way, they encounter alien species, face internal struggles, and ultimately find themselves at the center of an intergalactic conflict.",3,TRUE,12.45,Nina Adams,Comic
Blood Moon,"A once-in-a-lifetime storm brings a team of adventurers to the edge of a remote mountain range. As they climb higher, they encounter creatures from local legends and uncover an ancient prophecy that could change the world forever.",1,FALSE,24.57,Yara Fisher,Horror
Bound by the Stars,"Their bond is unbreakable, and their love transcends time and space. Together, they fight against all odds, facing every challenge that threatens their connection, knowing their love is the only thing that will keep them whole.",8,FALSE,9.05,Wyatt Knight,Romance
Captain's Journey,"A charismatic leader rises from humble beginnings to lead a team of superheroes who battle villainous forces across the universe. But in doing so, they must also deal with the personal sacrifices that come with a life of heroism.",5,FALSE,15.31,Yara Fisher,Comic
Carrion,"In a world where nightmares come to life, a small group of survivors must navigate the terrifying edge of reality. As the darkness closes in, they must find the strength to fight back or be consumed by the horrors lurking in the shadows.",5,FALSE,4.63,Kian Hunter,Horror
Chasing Shadows,"On the hunt for an elusive figure from his past, a detective is drawn into a world of shadowy figures and hidden motives. As the search intensifies, he discovers that the answers he seeks may be more dangerous than the shadows themselves.",2,FALSE,2.85,Milo Turner,Action
Chronicles of the Future,"In a future where technology rules, a group of explorers uncovers a long-lost civilization with secrets that could alter the course of human history. Their discoveries come at a price as they face mysterious forces working against them.",4,FALSE,13.52,Nina Adams,Sci-fi
